"steer","accel","brake","gear","speedX","speedY","speedZ","wheelSpinVel","z","track","trackPos","angle","rpm","damage","distFromStart"
"0.047282118141938986","0.9999436094777306","0.0","3","57.1821","0.894809","0.259058","[53.234, 51.6052, 52.1893, 52.1893]","0.291008","[5.17117, 11.4539, 21.1637, 200.0, 143.617, 106.574, 93.7092, 84.7684, 79.3671, 74.6179, 70.4101, 66.6563, 62.0345, 57.4891, 50.569, 40.8273, 31.0539, 23.1596, 11.7908]","0.37484","-0.0379876","5404.01","0.0","4.07942"
"0.0","0.9999436094777306","0.0","3","57.5718","1.00452","0.326513","[53.7898, 51.9009, 52.7786, 52.7786]","0.291603","[5.11607, 11.1748, 19.9448, 200.0, 160.3, 115.353, 100.37, 90.1401, 84.0302, 78.7017, 74.0136, 69.858, 64.7745, 59.8114, 52.3224, 41.9158, 31.6313, 23.5059, 11.8851]","0.377886","-0.0439611","5464.89","0.0","4.40252"
"0.0","0.9999436094777306","0.0","3","58.0114","0.958097","0.374495","[54.136, 52.3545, 53.3005, 53.3005]","0.292505","[5.06017, 10.91, 18.9277, 200.0, 180.637, 125.48, 107.887, 96.1115, 89.1677, 83.1657, 77.9263, 73.3131, 67.71, 62.2816, 54.1679, 43.0451, 32.2227, 23.8519, 11.9808]","0.381282","-0.0496836","5518.71","0.0","4.72791"
"0.0","0.9999436094777306","0.0","3","58.4809","0.85787","0.404597","[54.4342, 52.8714, 53.7958, 53.7958]","0.293611","[5.00749, 10.6816, 18.1412, 200.0, 190.23, 136.094, 115.572, 102.115, 94.2825, 87.5719, 81.7588, 76.675, 70.543, 64.6462, 55.9132, 44.0943, 32.7614, 24.1591, 12.0686]","0.384905","-0.0544844","5570.04","0.0","5.05581"
"0.0","0.9999436094777306","0.0","3","58.9706","0.744674","0.416684","[54.7455, 53.41, 54.3015, 54.3015]","0.294699","[4.95881, 10.4896, 17.5396, 200.0, 195.327, 146.741, 123.088, 107.888, 99.1507, 91.7296, 85.3479, 79.8021, 73.1567, 66.8103, 57.4902, 45.025, 33.2291, 24.4185, 12.1465]","0.388687","-0.0582703","5622.52","0.0","5.38643"
"0.0","0.9999436094777306","0.0","3","59.4762","0.636676","0.41357","[55.0875, 53.9535, 54.8211, 54.8211]","0.294029","[4.91387, 10.3288, 17.0751, 126.837, 198.8, 157.172, 130.264, 113.308, 103.678, 95.5636, 88.633, 82.6461, 75.5143, 68.7472, 58.8845, 45.8328, 33.6257, 24.6323, 12.2146]","0.392578","-0.0611334","5676.43","0.0","5.71988"
"0.0","0.9999436094777306","0.0","3","59.9949","0.539565","0.400221","[55.4617, 54.4982, 55.3537, 55.3537]","0.29328","[4.87214, 10.1932, 16.7119, 93.7211, 200.0, 167.248, 137.026, 118.334, 107.837, 99.0564, 91.6052, 85.2027, 77.6175, 70.4616, 60.1042, 46.5262, 33.9579, 24.8054, 12.274]","0.39654","-0.0632127","5731.66","0.0","6.05623"
"0.0","0.9999436094777306","0.0","3","60.5255","0.454126","0.381997","[55.8645, 55.0446, 55.903, 55.903]","0.292413","[4.83311, 10.0777, 16.4251, 77.5215, 200.0, 176.874, 143.33, 122.947, 111.619, 102.21, 94.2703, 87.4811, 79.4782, 71.9674, 61.1626, 47.1167, 34.2332, 24.9433, 12.3259]","0.400553","-0.0646316","5788.63","0.0","6.39556"
"0.0","0.9999436094777306","0.0","3","61.0696","0.379324","0.368922","[56.2912, 55.5948, 56.4305, 56.4305]","0.29142","[4.79657, 9.97948, 16.1992, 68.1484, 200.0, 182.776, 149.132, 127.13, 115.02, 105.023, 96.6324, 89.4895, 81.1064, 73.275, 62.0708, 47.6133, 34.4575, 25.0501, 12.371]","0.404584","-0.0654849","5841.53","0.0","6.73799"
"0.0","0.9999436094777306","0.0","3","61.6445","0.324621","0.425041","[56.7562, 56.1728, 56.607, 56.607]","0.290526","[4.76209, 9.89556, 16.0226, 62.2304, 200.0, 185.853, 154.389, 130.866, 118.032, 107.498, 98.6966, 91.2337, 82.5102, 74.3942, 62.8387, 48.0238, 34.6359, 25.1296, 12.41]","0.40863","-0.065844","5860.91","0.0","7.0837"
"0.0","0.9999436094777306","0.0","3","62.2008","0.280231","0.497271","[57.2171, 56.7396, 57.1437, 57.1437]","0.289987","[4.72982, 9.82583, 15.8932, 58.4403, 200.0, 187.83, 158.928, 134.047, 120.574, 109.57, 100.414, 92.6761, 83.6614, 75.3041, 63.4533, 48.3423, 34.7663, 25.1811, 12.4428]","0.412669","-0.0657136","5917.41","0.0","7.43258"
"0.0","0.9999436094777306","0.0","3","62.7593","0.239575","0.560993","[57.6924, 57.2889, 57.7979, 57.7979]","0.289804","[4.69922, 9.76646, 15.7972, 55.8578, 200.0, 189.221, 162.91, 136.8, 122.758, 111.338, 101.869, 93.8904, 84.6227, 76.0572, 63.9538, 48.5932, 34.8615, 25.2121, 12.471]","0.416695","-0.065224","5985.76","0.0","7.78459"
"0.0","0.9999436094777306","0.0","3","63.3219","0.202243","0.598828","[58.1808, 57.8286, 58.5551, 58.5551]","0.28987","[4.67006, 9.71496, 15.7262, 54.0028, 200.0, 190.257, 166.485, 139.241, 124.679, 112.882, 103.131, 94.9384, 85.4459, 76.6963, 64.3715, 48.7949, 34.9313, 25.2277, 12.4954]","0.420675","-0.0644745","6064.32","0.0","8.13986"
"0.0","0.9999436094777306","0.0","3","63.8969","0.165097","0.615824","[58.681, 58.3728, 59.3018, 59.3018]","0.290048","[4.64217, 9.67023, 15.6761, 52.6526, 200.0, 191.041, 169.702, 141.411, 126.373, 114.235, 104.231, 95.8449, 86.1522, 77.2392, 64.7196, 48.9557, 34.9799, 25.2303, 12.5167]","0.424606","-0.0635086","6141.45","0.0","8.49854"
